dt,LandAverageTemperature
1/1/2000,2.95
2/1/2000,4.184
3/1/2000,6.219
4/1/2000,9.552
5/1/2000,11.874
6/1/2000,14.06
7/1/2000,14.848
8/1/2000,14.519
9/1/2000,12.547
10/1/2000,9.486
11/1/2000,6.312
12/1/2000,3.863
1/1/2001,3.336
2/1/2001,3.72
3/1/2001,6.208
4/1/2001,9.245
5/1/2001,12.271
6/1/2001,14.11
7/1/2001,15.161
8/1/2001,14.427
9/1/2001,12.736
10/1/2001,9.935
11/1/2001,7.319
12/1/2001,4.507
1/1/2002,4.026
2/1/2002,4.704
3/1/2002,6.772
4/1/2002,9.229
5/1/2002,12.248
6/1/2002,14.084
7/1/2002,15.354
8/1/2002,14.56
9/1/2002,12.95
10/1/2002,9.988
11/1/2002,6.892
12/1/2002,4.038
1/1/2003,3.981
2/1/2003,4.085
3/1/2003,6.048
4/1/2003,9.154
5/1/2003,12.153
6/1/2003,14.017
7/1/2003,14.983
8/1/2003,14.691
9/1/2003,12.911
10/1/2003,10.424
11/1/2003,6.727
12/1/2003,5.133
1/1/2004,3.525
2/1/2004,4.499
3/1/2004,6.321
4/1/2004,9.249
5/1/2004,11.571
6/1/2004,13.889
7/1/2004,14.312
8/1/2004,14.188
9/1/2004,12.642
10/1/2004,10.127
11/1/2004,7.315
12/1/2004,4.257
1/1/2005,3.808
2/1/2005,3.92
3/1/2005,6.544
4/1/2005,9.618
5/1/2005,12.226
6/1/2005,14.476
7/1/2005,15.19
8/1/2005,14.51
9/1/2005,13.217
10/1/2005,10.601
11/1/2005,7.423
12/1/2005,4.878
1/1/2006,3.286
2/1/2006,4.43
3/1/2006,6.329
4/1/2006,9.055
5/1/2006,11.786
6/1/2006,14.443
7/1/2006,15.042
8/1/2006,14.913
9/1/2006,12.875
10/1/2006,10.289
11/1/2006,6.955
12/1/2006,4.987
1/1/2007,4.579
2/1/2007,4.221
3/1/2007,6.485
4/1/2007,9.823
5/1/2007,12.518
6/1/2007,14.309
7/1/2007,15.23
8/1/2007,14.752
9/1/2007,12.93
10/1/2007,10.332
11/1/2007,7.084
12/1/2007,4.523
1/1/2008,2.844
2/1/2008,3.576
3/1/2008,6.906
4/1/2008,9.295
5/1/2008,12.054
6/1/2008,14.145
7/1/2008,15.174
8/1/2008,14.377
9/1/2008,12.802
10/1/2008,10.399
11/1/2008,7.224
12/1/2008,4.385
1/1/2009,3.687
2/1/2009,4.094
3/1/2009,6.086
4/1/2009,9.367
5/1/2009,12.112
6/1/2009,14.201
7/1/2009,15.231
8/1/2009,14.655
9/1/2009,13.153
10/1/2009,10.136
11/1/2009,7.031
12/1/2009,4.31
1/1/2010,3.737
2/1/2010,4.399
3/1/2010,6.738
4/1/2010,9.671
5/1/2010,12.406
6/1/2010,14.421
7/1/2010,15.213
8/1/2010,14.768
9/1/2010,12.863
10/1/2010,10.442
11/1/2010,7.487
12/1/2010,4.292
1/1/2011,3.282
2/1/2011,3.743
3/1/2011,6.101
4/1/2011,9.483
5/1/2011,11.986
6/1/2011,14.37
7/1/2011,15.482
8/1/2011,15.012
9/1/2011,12.912
10/1/2011,10.352
11/1/2011,6.814
12/1/2011,4.655
1/1/2012,3.157
2/1/2012,3.628
3/1/2012,6.023
4/1/2012,9.676
5/1/2012,12.59
6/1/2012,14.492
7/1/2012,15.076
8/1/2012,14.72
9/1/2012,13.04
10/1/2012,10.428
11/1/2012,7.156
12/1/2012,4.102
1/1/2013,3.685
2/1/2013,4.222
3/1/2013,6.261
4/1/2013,9.044
5/1/2013,12.195
6/1/2013,14.568
7/1/2013,15.003
8/1/2013,14.742
9/1/2013,13.154
10/1/2013,10.256
11/1/2013,7.424
12/1/2013,4.724
1/1/2014,3.732
2/1/2014,3.5
3/1/2014,6.378
4/1/2014,9.589
5/1/2014,12.582
6/1/2014,14.335
7/1/2014,14.873
8/1/2014,14.875
9/1/2014,13.091
10/1/2014,10.33
11/1/2014,6.713
12/1/2014,4.85
1/1/2015,3.881
2/1/2015,4.664
3/1/2015,6.74
4/1/2015,9.313
5/1/2015,12.312
6/1/2015,14.505
7/1/2015,15.051
8/1/2015,14.755
9/1/2015,12.999
10/1/2015,10.801
11/1/2015,7.433
12/1/2015,5.518
